campeonato,ano,rodada,data,mandante,visitante,placar
brasileiro-a,2017,30,23.10. 19:00,Botafogo,Corinthians,2 : 1
brasileiro-a,2017,30,22.10. 18:00,Chapecoense,Fluminense,2 : 0
brasileiro-a,2017,30,22.10. 18:00,Ponte Preta,Avaí,1 : 2
brasileiro-a,2017,30,22.10. 16:00,Atlético-PR,Sport Recife,2 : 1
brasileiro-a,2017,30,22.10. 16:00,Bahia,Vitória,2 : 1
brasileiro-a,2017,30,22.10. 16:00,Cruzeiro,Atlético-MG,1 : 3
brasileiro-a,2017,30,22.10. 16:00,Grêmio,Palmeiras,1 : 3
brasileiro-a,2017,30,22.10. 16:00,Santos,Atlético-GO,1 : 0
brasileiro-a,2017,30,22.10. 16:00,São Paulo,Flamengo,2 : 0
brasileiro-a,2017,30,21.10. 16:00,Vasco,Coritiba,1 : 1
brasileiro-a,2017,29,19.10. 20:00,Flamengo,Bahia,4 : 1
brasileiro-a,2017,29,19.10. 20:00,Sport Recife,Santos,1 : 1
brasileiro-a,2017,29,19.10. 19:00,Palmeiras,Ponte Preta,2 : 0
brasileiro-a,2017,29,19.10. 19:00,Vitória,Atlético-PR,2 : 3
brasileiro-a,2017,29,18.10. 20:45,Avaí,Botafogo,1 : 1
brasileiro-a,2017,29,18.10. 20:45,Corinthians,Grêmio,0 : 0
brasileiro-a,2017,29,18.10. 20:45,Fluminense,São Paulo,3 : 1
brasileiro-a,2017,29,18.10. 20:00,Atlético-MG,Chapecoense,2 : 3
brasileiro-a,2017,29,18.10. 18:30,Atlético-GO,Vasco,0 : 1
brasileiro-a,2017,29,18.10. 18:30,Coritiba,Cruzeiro,1 : 0
brasileiro-a,2017,28,16.10. 19:00,Santos,Vitória,2 : 2
brasileiro-a,2017,28,15.10. 18:00,Bahia,Corinthians,2 : 0
brasileiro-a,2017,28,15.10. 18:00,Coritiba,Grêmio,0 : 1
brasileiro-a,2017,28,15.10. 16:00,Atlético-GO,Palmeiras,1 : 3
brasileiro-a,2017,28,15.10. 16:00,Chapecoense,Flamengo,0 : 1
brasileiro-a,2017,28,15.10. 16:00,Fluminense,Avaí,1 : 0
brasileiro-a,2017,28,15.10. 16:00,Sport Recife,Atlético-MG,1 : 1
brasileiro-a,2017,28,14.10. 21:00,São Paulo,Atlético-PR,2 : 1
brasileiro-a,2017,28,14.10. 19:00,Vasco,Botafogo,1 : 0
brasileiro-a,2017,27,12.10. 21:00,Palmeiras,Bahia,2 : 2
brasileiro-a,2017,27,12.10. 17:00,Flamengo,Fluminense,1 : 1
brasileiro-a,2017,27,12.10. 17:00,Ponte Preta,Santos,1 : 1
