,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado,posicao_m,posicao_v,aproveitamento_5r_v,aproveitamento_5r_m,aproveitamento_10r_v,aproveitamento_10r_m
0,brasileiro-a,2017,30,23-10,Botafogo,Corinthians,2,1,MANDANTE,6.0,1.0,0.4,0.47,0.4,0.63
1,brasileiro-a,2017,30,22-10,Chapecoense,Fluminense,2,0,MANDANTE,11.0,13.0,0.47,0.47,0.4,0.43
2,brasileiro-a,2017,30,22-10,Ponte Preta,Avaí,1,2,VISITANTE,18.0,16.0,0.13,0.27,0.43,0.3
3,brasileiro-a,2017,30,22-10,Atlético-PR,Sport Recife,2,1,MANDANTE,9.0,15.0,0.4,0.27,0.23,0.4
4,brasileiro-a,2017,30,22-10,Bahia,Vitória,2,1,MANDANTE,12.0,17.0,0.47,0.53,0.47,0.4
5,brasileiro-a,2017,30,22-10,Cruzeiro,Atlético-MG,1,3,VISITANTE,5.0,10.0,0.47,0.67,0.5,0.67
6,brasileiro-a,2017,30,22-10,Grêmio,Palmeiras,1,3,VISITANTE,4.0,2.0,0.67,0.47,0.6,0.37
7,brasileiro-a,2017,30,22-10,Santos,Atlético-GO,1,0,MANDANTE,3.0,20.0,0.27,0.6,0.47,0.5
8,brasileiro-a,2017,30,22-10,São Paulo,Flamengo,2,0,MANDANTE,14.0,7.0,0.53,0.47,0.57,0.5
9,brasileiro-a,2017,30,21-10,Vasco,Coritiba,1,1,EMPATE,8.0,19.0,0.27,0.73,0.2,0.6
10,brasileiro-a,2017,29,19-10,Flamengo,Bahia,4,1,MANDANTE,6.0,13.0,0.53,0.53,0.5,0.47
11,brasileiro-a,2017,29,19-10,Sport Recife,Santos,1,1,EMPATE,14.0,4.0,0.53,0.33,0.5,0.2
12,brasileiro-a,2017,29,19-10,Palmeiras,Ponte Preta,2,0,MANDANTE,3.0,17.0,0.27,0.67,0.33,0.5
13,brasileiro-a,2017,29,19-10,Vitória,Atlético-PR,2,3,VISITANTE,16.0,9.0,0.27,0.47,0.4,0.57
14,brasileiro-a,2017,29,18-10,Avaí,Botafogo,1,1,EMPATE,19.0,7.0,0.6,0.13,0.63,0.43
15,brasileiro-a,2017,29,18-10,Corinthians,Grêmio,0,0,EMPATE,1.0,2.0,0.4,0.53,0.43,0.47
16,brasileiro-a,2017,29,18-10,Fluminense,São Paulo,3,1,MANDANTE,11.0,15.0,0.67,0.27,0.5,0.4
17,brasileiro-a,2017,29,18-10,Atlético-MG,Chapecoense,2,3,VISITANTE,10.0,12.0,0.47,0.53,0.33,0.5
18,brasileiro-a,2017,29,18-10,Atlético-GO,Vasco,0,1,VISITANTE,20.0,8.0,0.53,0.47,0.53,0.47
19,brasileiro-a,2017,29,18-10,Coritiba,Cruzeiro,1,0,MANDANTE,18.0,5.0,0.87,0.07,0.7,0.2
20,brasileiro-a,2017,28,16-10,Santos,Vitória,2,2,EMPATE,3.0,15.0,0.47,0.67,0.63,0.57
21,brasileiro-a,2017,28,15-10,Bahia,Corinthians,2,0,MANDANTE,10.0,1.0,0.53,0.4,0.57,0.43
22,brasileiro-a,2017,28,15-10,Coritiba,Grêmio,0,1,VISITANTE,19.0,2.0,0.2,0.13,0.43,0.3
23,brasileiro-a,2017,28,15-10,Atlético-GO,Palmeiras,1,3,VISITANTE,20.0,4.0,0.53,0.53,0.5,0.47
24,brasileiro-a,2017,28,15-10,Chapecoense,Flamengo,0,1,VISITANTE,16.0,7.0,0.33,0.47,0.37,0.37
25,brasileiro-a,2017,28,15-10,Fluminense,Avaí,1,0,MANDANTE,12.0,18.0,0.33,0.13,0.43,0.33
26,brasileiro-a,2017,28,15-10,Sport Recife,Atlético-MG,1,1,EMPATE,14.0,9.0,0.53,0.27,0.47,0.2
27,brasileiro-a,2017,28,14-10,São Paulo,Atlético-PR,2,1,MANDANTE,13.0,11.0,0.33,0.53,0.5,0.4
28,brasileiro-a,2017,28,14-10,Vasco,Botafogo,1,0,MANDANTE,8.0,6.0,0.8,0.53,0.63,0.43
29,brasileiro-a,2017,27,12-10,Palmeiras,Bahia,2,2,EMPATE,4.0,14.0,0.33,0.67,0.4,0.57
30,brasileiro-a,2017,27,12-10,Flamengo,Fluminense,1,1,EMPATE,7.0,16.0,0.07,0.47,0.33,0.37
31,brasileiro-a,2017,27,12-10,Ponte Preta,Santos,1,1,EMPATE,15.0,2.0,0.67,0.27,0.57,0.33
32,brasileiro-a,2017,27,12-10,Vitória,Sport Recife,1,2,VISITANTE,12.0,11.0,0.07,0.67,0.2,0.67
33,brasileiro-a,2017,27,11-10,Atlético-MG,São Paulo,1,0,MANDANTE,8.0,17.0,0.53,0.53,0.5,0.47
34,brasileiro-a,2017,27,11-10,Avaí,Vasco,1,2,VISITANTE,18.0,9.0,0.53,0.53,0.33,0.43
35,brasileiro-a,2017,27,11-10,Grêmio,Cruzeiro,0,1,VISITANTE,3.0,5.0,0.73,0.4,0.63,0.47
36,brasileiro-a,2017,27,11-10,Corinthians,Coritiba,3,1,MANDANTE,1.0,19.0,0.13,0.33,0.3,0.5
37,brasileiro-a,2017,27,11-10,Atlético-PR,Atlético-GO,2,2,EMPATE,10.0,20.0,0.67,0.27,0.53,0.57
38,brasileiro-a,2017,27,11-10,Botafogo,Chapecoense,2,1,MANDANTE,6.0,13.0,0.47,0.8,0.37,0.53
39,brasileiro-a,2017,28,07-10,Cruzeiro,Ponte Preta,2,1,MANDANTE,5.0,17.0,0.33,0.87,0.33,0.7
40,brasileiro-a,2017,26,02-10,Ponte Preta,Flamengo,1,0,MANDANTE,15.0,7.0,0.67,0.27,0.47,0.33
41,brasileiro-a,2017,26,01-10,Atlético-PR,Atlético-MG,0,2,VISITANTE,8.0,9.0,0.33,0.33,0.37,0.57
42,brasileiro-a,2017,26,01-10,Avaí,Atlético-GO,0,2,VISITANTE,18.0,20.0,0.47,0.6,0.47,0.53
43,brasileiro-a,2017,26,01-10,Botafogo,Vitória,2,3,VISITANTE,6.0,11.0,0.67,0.8,0.57,0.57
44,brasileiro-a,2017,26,01-10,Cruzeiro,Corinthians,1,1,EMPATE,5.0,1.0,0.27,0.87,0.57,0.6
45,brasileiro-a,2017,26,01-10,Grêmio,Fluminense,1,0,MANDANTE,3.0,16.0,0.27,0.27,0.33,0.4
46,brasileiro-a,2017,26,01-10,São Paulo,Sport Recife,1,0,MANDANTE,14.0,17.0,0.07,0.4,0.2,0.43
47,brasileiro-a,2017,26,30-09,Palmeiras,Santos,0,1,VISITANTE,4.0,2.0,0.53,0.67,0.57,0.67
48,brasileiro-a,2017,26,30-09,Bahia,Coritiba,1,1,EMPATE,13.0,19.0,0.13,0.47,0.27,0.37
49,brasileiro-a,2017,26,30-09,Vasco,Chapecoense,1,1,EMPATE,10.0,12.0,0.6,0.47,0.43,0.4
50,brasileiro-a,2017,25,25-09,Sport Recife,Vasco,1,1,EMPATE,14.0,9.0,0.47,0.07,0.37,0.27
51,brasileiro-a,2017,25,24-09,Atlético-MG,Vitória,1,3,VISITANTE,11.0,16.0,0.47,0.53,0.47,0.37
52,brasileiro-a,2017,25,24-09,Bahia,Grêmio,1,0,MANDANTE,13.0,3.0,0.27,0.27,0.5,0.37
53,brasileiro-a,2017,25,24-09,Atlético-GO,Cruzeiro,1,2,VISITANTE,20.0,5.0,0.67,0.67,0.53,0.47
