,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado
0,brasileiro-a,2017,30,23-10,Botafogo,Corinthians,2,1,MANDANTE
1,brasileiro-a,2017,30,22-10,Chapecoense,Fluminense,2,0,MANDANTE
2,brasileiro-a,2017,30,22-10,Ponte Preta,Avaí,1,2,VISITANTE
3,brasileiro-a,2017,30,22-10,Atlético-PR,Sport Recife,2,1,MANDANTE
4,brasileiro-a,2017,30,22-10,Bahia,Vitória,2,1,MANDANTE
5,brasileiro-a,2017,30,22-10,Cruzeiro,Atlético-MG,1,3,VISITANTE
6,brasileiro-a,2017,30,22-10,Grêmio,Palmeiras,1,3,VISITANTE
7,brasileiro-a,2017,30,22-10,Santos,Atlético-GO,1,0,MANDANTE
8,brasileiro-a,2017,30,22-10,São Paulo,Flamengo,2,0,MANDANTE
9,brasileiro-a,2017,30,21-10,Vasco,Coritiba,1,1,EMPATE
10,brasileiro-a,2017,29,19-10,Flamengo,Bahia,4,1,MANDANTE
11,brasileiro-a,2017,29,19-10,Sport Recife,Santos,1,1,EMPATE
12,brasileiro-a,2017,29,19-10,Palmeiras,Ponte Preta,2,0,MANDANTE
13,brasileiro-a,2017,29,19-10,Vitória,Atlético-PR,2,3,VISITANTE
14,brasileiro-a,2017,29,18-10,Avaí,Botafogo,1,1,EMPATE
15,brasileiro-a,2017,29,18-10,Corinthians,Grêmio,0,0,EMPATE
16,brasileiro-a,2017,29,18-10,Fluminense,São Paulo,3,1,MANDANTE
17,brasileiro-a,2017,29,18-10,Atlético-MG,Chapecoense,2,3,VISITANTE
18,brasileiro-a,2017,29,18-10,Atlético-GO,Vasco,0,1,VISITANTE
19,brasileiro-a,2017,29,18-10,Coritiba,Cruzeiro,1,0,MANDANTE
20,brasileiro-a,2017,28,16-10,Santos,Vitória,2,2,EMPATE
21,brasileiro-a,2017,28,15-10,Bahia,Corinthians,2,0,MANDANTE
22,brasileiro-a,2017,28,15-10,Coritiba,Grêmio,0,1,VISITANTE
23,brasileiro-a,2017,28,15-10,Atlético-GO,Palmeiras,1,3,VISITANTE
24,brasileiro-a,2017,28,15-10,Chapecoense,Flamengo,0,1,VISITANTE
25,brasileiro-a,2017,28,15-10,Fluminense,Avaí,1,0,MANDANTE
26,brasileiro-a,2017,28,15-10,Sport Recife,Atlético-MG,1,1,EMPATE
27,brasileiro-a,2017,28,14-10,São Paulo,Atlético-PR,2,1,MANDANTE
28,brasileiro-a,2017,28,14-10,Vasco,Botafogo,1,0,MANDANTE
29,brasileiro-a,2017,27,12-10,Palmeiras,Bahia,2,2,EMPATE
30,brasileiro-a,2017,27,12-10,Flamengo,Fluminense,1,1,EMPATE
31,brasileiro-a,2017,27,12-10,Ponte Preta,Santos,1,1,EMPATE
32,brasileiro-a,2017,27,12-10,Vitória,Sport Recife,1,2,VISITANTE
33,brasileiro-a,2017,27,11-10,Atlético-MG,São Paulo,1,0,MANDANTE
34,brasileiro-a,2017,27,11-10,Avaí,Vasco,1,2,VISITANTE
35,brasileiro-a,2017,27,11-10,Grêmio,Cruzeiro,0,1,VISITANTE
36,brasileiro-a,2017,27,11-10,Corinthians,Coritiba,3,1,MANDANTE
37,brasileiro-a,2017,27,11-10,Atlético-PR,Atlético-GO,2,2,EMPATE
38,brasileiro-a,2017,27,11-10,Botafogo,Chapecoense,2,1,MANDANTE
39,brasileiro-a,2017,28,07-10,Cruzeiro,Ponte Preta,2,1,MANDANTE
40,brasileiro-a,2017,26,02-10,Ponte Preta,Flamengo,1,0,MANDANTE
41,brasileiro-a,2017,26,01-10,Atlético-PR,Atlético-MG,0,2,VISITANTE
42,brasileiro-a,2017,26,01-10,Avaí,Atlético-GO,0,2,VISITANTE
43,brasileiro-a,2017,26,01-10,Botafogo,Vitória,2,3,VISITANTE
44,brasileiro-a,2017,26,01-10,Cruzeiro,Corinthians,1,1,EMPATE
45,brasileiro-a,2017,26,01-10,Grêmio,Fluminense,1,0,MANDANTE
46,brasileiro-a,2017,26,01-10,São Paulo,Sport Recife,1,0,MANDANTE
47,brasileiro-a,2017,26,30-09,Palmeiras,Santos,0,1,VISITANTE
48,brasileiro-a,2017,26,30-09,Bahia,Coritiba,1,1,EMPATE
49,brasileiro-a,2017,26,30-09,Vasco,Chapecoense,1,1,EMPATE
50,brasileiro-a,2017,25,25-09,Sport Recife,Vasco,1,1,EMPATE
51,brasileiro-a,2017,25,24-09,Atlético-MG,Vitória,1,3,VISITANTE
52,brasileiro-a,2017,25,24-09,Bahia,Grêmio,1,0,MANDANTE
53,brasileiro-a,2017,25,24-09,Atlético-GO,Cruzeiro,1,2,VISITANTE
54,brasileiro-a,2017,25,24-09,Chapecoense,Ponte Preta,1,0,MANDANTE
55,brasileiro-a,2017,25,24-09,Coritiba,Botafogo,2,3,VISITANTE
