Ano,Mandante,Visitante,Placar_mandante,Placar_visitante
2017,Vasco,Coritiba,1,1
2017,Flamengo,Bahia,4,1
2017,Sport Recife,Santos,1,1
2017,Palmeiras,Ponte Preta,2,0
2017,Vitória,Atlético-PR,2,3
2017,Avaí,Botafogo,1,1
2017,Corinthians,Grêmio,0,0
2017,Fluminense,São Paulo,3,1
2017,Atlético-MG,Chapecoense,2,3
2017,Atlético-GO,Vasco,0,1
2017,Coritiba,Cruzeiro,1,0
2017,Santos,Vitória,2,2
2017,Bahia,Corinthians,2,0
2017,Coritiba,Grêmio,0,1
2017,Atlético-GO,Palmeiras,1,3
2017,Chapecoense,Flamengo,0,1
2017,Fluminense,Avaí,1,0
2017,Sport Recife,Atlético-MG,1,1
2017,São Paulo,Atlético-PR ,2,1
2017,Vasco,Botafogo,1,0
2017,Palmeiras,Bahia,2,2
2017,Flamengo,Fluminense,1,1
2017,Ponte Preta,Santos,1,1
2017,Vitória,Sport Recife,1,2
2017,Atlético-MG,São Paulo,1,0
2017,Avaí,Vasco,1,2
2017,Grêmio,Cruzeiro,0,1
2017,Corinthians,Coritiba,3,1
2017,Atlético-PR,Atlético-GO,2,2
2017,Botafogo,Chapecoense,2,1
2017,Cruzeiro,Ponte Preta,2,1
2017,Ponte Preta,Flamengo,1,0
2017,Atlético-PR,Atlético-MG,0,2
2017,Avaí,Atlético-GO,0,2
2017,Botafogo,Vitória,2,3
2017,Cruzeiro,Corinthians,1,1
2017,Grêmio,Fluminense,1,0
2017,São Paulo,Sport Recife,1,0
2017,Palmeiras,Santos,0,1
2017,Bahia,Coritiba,1,1
2017,Vasco,Chapecoense,1,1
2017,Sport Recife ,Vasco,1,1
2017,Atlético-MG,Vitória,1,3
2017,Bahia,Grêmio,1,0
2017,Atlético-GO,Cruzeiro,1,2
2017,Chapecoense,Ponte Preta,1,0
2017,Coritiba,Botafogo,2,3
2017,Fluminense,Palmeiras,0,1
2017,São Paulo,Corinthians,1,1
2017,Santos,Atlético-PR,1,0
2017,Flamengo,Avaí,1,1
2017,Palmeiras,Coritiba,1,0
2017,Cruzeiro ,Bahia,1,0
2017,Atlético-PR,Fluminense,3,1
2017,Corinthians,Vasco,1,0
2017,Flamengo,Sport Recife ,2,0
2017,Grêmio,Chapecoense,0,1
2017,Vitória,São Paulo,1,2
2017,Avaí,Atlético-MG,1,1
2017,Ponte Preta,Atlético-GO,1,3
2017,Botafogo,Santos,2,0
2017,Atlético-GO,Bahia,1,1
2017,Botafogo,Flamengo,2,0
2017,Chapecoense,Cruzeiro,1,2
2017,Santos,Corinthians,2,0
2017,Sport Recife,Avaí,0,1
2017,Vitória,Fluminense ,2,2
2017,Atlético-PR,Coritiba,1,1
2017,São Paulo ,Ponte Preta,2,2
2017,Vasco,Grêmio,1,0
2017,Atlético-MG,Palmeiras ,1,1
2017,Grêmio,Sport Recife,5,0
2017,Coritiba,Vitória,0,1
2017,Avaí,Chapecoense,1,0
2017,Cruzeiro,Santos,1,1
2017,Bahia,Botafogo,1,2
2017,Flamengo,Atlético-PR,2,0
2017,Palmeiras,São Paulo,4,2
2017,Ponte Preta,Atlético-MG,1,2
2017,Corinthians,Atlético-GO,0,1
2017,Fluminense,Vasco,0,1
2017,Chapecoense,Corinthians,0,1
2017,Fluminense,Atlético-MG,2,1
2017,Coritiba,Santos,0,0
2017,Palmeiras,Chapecoense,0,2
2017,Avaí,São Paulo,1,1
2017,Bahia,Vasco,3,0
2017,Cruzeiro,Sport Recife,2,0
2017,Ponte Preta,Botafogo,2,1
2017,Grêmio,Atlético-PR,0,0
2017,Flamengo,Atlético-GO,2,0
2017,Corinthians,Vitória,0,1
2017,Santos,Fluminense,0,0
2017,Atlético-PR,Bahia,4,1
2017,Botafogo,Grêmio,1,0
2017,Atlético-MG,Flamengo ,2,0
2017,Sport Recife,Ponte Preta,0,0
2017,Vasco,Palmeiras,1,1
2017,São Paulo ,Cruzeiro ,3,2
2017,Vitória,Avaí,0,1
2017,Atlético-GO,Coritiba,1,0
2017,Ponte Preta,Fluminense,0,0
2017,Avaí,Santos,0,0
2017,Ponte Preta,Vasco,0,0
2017,Bahia,São Paulo,2,1
2017,Coritiba,Chapecoense,2,0
2017,Cruzeiro,Botafogo,0,0
2017,Grêmio,Atlético-MG,2,0
2017,Palmeiras,Atlético-PR,0,1
2017,Flamengo,Vitória,0,2
2017,Corinthians,Sport Recife,3,1
2017,Fluminense,Atlético-GO,3,1
2017,Vasco,Cruzeiro,0,3
2017,Atlético-PR,Avaí,5,0
2017,São Paulo,Coritiba,1,2
2017,Atlético-GO,Grêmio,0,1
2017,Botafogo,Palmeiras,1,2
2017,Santos ,Flamengo ,3,2
2017,Atlético-MG,Corinthians,0,2
2017,Vitória,Ponte Preta,3,1
2017,Chapecoense,Bahia,1,1
2017,Sport Recife,Fluminense ,2,2
2017,Vasco,Atlético-PR,0,1
2017,Cruzeiro,Vitória,0,0
2017,Grêmio,Santos,1,1
2017,Bahia,Sport Recife,1,3
2017,Corinthians,Flamengo,1,1
2017,Coritiba,Atlético-MG,0,2
2017,Chapecoense,Atlético-GO,1,2
2017,Palmeiras,Avaí,2,0
2017,Botafogo,São Paulo,3,4
2017,São Paulo,Grêmio,1,1
2017,Atlético-GO,Botafogo,1,1
2017,Atlético-MG,Vasco,1,2
2017,Atlético-PR,Ponte Preta,0,2
2017,Avaí,Cruzeiro,1,0
2017,Fluminense,Corinthians,0,1
2017,Sport Recife,Palmeiras,0,2
2017,Santos,Bahia,3,0
2017,Flamengo,Coritiba,2,1
2017,Vitória,Chapecoense,1,2
2017,Atlético-PR,Botafogo,0,0
2017,Sport Recife,Atlético-GO,4,0
2017,Fluminense,Cruzeiro,1,1
2017,Atlético-MG,Bahia,0,2
2017,Flamengo,Palmeiras,2,2
2017,São Paulo,Vasco,1,0
2017,Avaí,Corinthians,0,0
2017,Ponte Preta,Coritiba,4,0
2017,Santos,Chapecoense,1,0
2017,Vitória,Grêmio,1,3
2017,Botafogo,Sport Recife,2,1
2017,Bahia,Avaí,1,1
2017,Coritiba,Fluminense,1,2
2017,Atlético-GO,Atlético-MG,1,2
2017,Chapecoense,São Paulo,2,0
2017,Cruzeiro,Flamengo,1,1
2017,Grêmio,Ponte Preta,3,1
2017,Vasco,Santos ,0,0
2017,Palmeiras,Vitória,4,2
2017,Corinthians,Atlético-PR,2,2
2017,Avaí,Coritiba,1,4
2017,Flamengo,Grêmio,0,1
2017,São Paulo,Atlético-GO,2,2
2017,Sport Recife,Chapecoense,3,0
2017,Atlético-PR,Cruzeiro,0,2
2017,Palmeiras,Corinthians,0,2
2017,Vitória,Vasco,1,4
2017,Fluminense,Botafogo,0,1
2017,Atlético-MG,Santos,0,1
2017,Ponte Preta,Bahia,0,3
2017,Coritiba,Sport Recife,0,3
2017,Botafogo,Atlético-MG,1,1
2017,Santos,São Paulo,3,2
2017,Bahia,Fluminense,1,1
2017,Cruzeiro,Palmeiras,3,1
2017,Grêmio,Avaí,0,2
2017,Chapecoense,Atlético-PR,1,1
2017,Corinthians,Ponte Preta,2,0
2017,Vasco,Flamengo,0,1
2017,Atlético-GO,Vitória,1,2
2017,Fluminense,Chapecoense ,3,3
2017,Avaí,Ponte Preta,0,0
2017,Coritiba,Vasco,2,2
2017,Atlético-MG,Cruzeiro,3,1
2017,Corinthians,Botafogo,1,0
2017,Flamengo,São Paulo,2,0
2017,Sport Recife,Atlético-PR,1,0
2017,Vitória,Bahia,0,0
2017,Atlético-GO,Santos,1,1
2017,Palmeiras,Grêmio,1,0
2017,Botafogo,Avaí,0,2
2017,Chapecoense,Atlético-MG,0,1
2017,Bahia ,Flamengo,0,1
2017,Atlético-PR,Vitória,4,1
2017,Cruzeiro,Coritiba,2,0
2017,Grêmio,Corinthians,0,1
2017,Ponte Preta,Palmeiras ,1,2
2017,São Paulo,Fluminense,1,1
2017,Vasco,Atlético-GO,1,0
2017,Santos,Sport Recife,0,1
2017,Flamengo,Chapecoense,5,1
2017,Grêmio,Coritiba,2,0
2017,Corinthians,Bahia ,3,0
2017,Ponte Preta,Cruzeiro,1,0
2017,Atlético-MG,Sport Recife,2,2
2017,Atlético-PR,São Paulo,1,0
2017,Avaí,Fluminense,0,3
2017,Botafogo,Vasco,3,1
