,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado
0,brasileiro-a,2018,8,31-05,Atlético-PR,Santos,2,0,MANDANTE
1,brasileiro-a,2018,8,31-05,Corinthians,América-MG,1,0,MANDANTE
2,brasileiro-a,2018,8,31-05,Flamengo,Bahia,2,0,MANDANTE
3,brasileiro-a,2018,8,30-05,Cruzeiro,Palmeiras,1,0,MANDANTE
4,brasileiro-a,2018,8,30-05,Grêmio,Fluminense,0,0,EMPATE
5,brasileiro-a,2018,8,30-05,Chapecoense,Ceará,2,0,MANDANTE
6,brasileiro-a,2018,8,30-05,São Paulo,Botafogo,3,2,MANDANTE
7,brasileiro-a,2018,8,30-05,Sport Recife,Atlético-MG,3,2,MANDANTE
8,brasileiro-a,2018,8,30-05,Vasco,Paraná,1,0,MANDANTE
9,brasileiro-a,2018,8,30-05,Vitória,Internacional,2,3,VISITANTE
10,brasileiro-a,2018,7,26-05,Atlético-MG,Flamengo,0,1,VISITANTE
11,brasileiro-a,2018,7,26-05,Palmeiras,Sport Recife,2,3,VISITANTE
12,brasileiro-a,2018,7,26-05,Fluminense,Chapecoense,3,1,MANDANTE
13,brasileiro-a,2018,7,27-05,Paraná,Atlético-PR,0,0,EMPATE
14,brasileiro-a,2018,7,27-05,Bahia,Vasco,3,0,MANDANTE
15,brasileiro-a,2018,7,27-05,Botafogo,Vitória,1,1,EMPATE
16,brasileiro-a,2018,7,27-05,Internacional,Corinthians,2,1,MANDANTE
17,brasileiro-a,2018,7,27-05,Santos,Cruzeiro,0,1,VISITANTE
18,brasileiro-a,2018,7,27-05,América-MG,São Paulo,1,3,VISITANTE
19,brasileiro-a,2018,7,27-05,Ceará,Grêmio,0,1,VISITANTE
20,brasileiro-a,2018,6,20-05,Fluminense,Atlético-PR,2,0,MANDANTE
21,brasileiro-a,2018,6,20-05,América-MG,Botafogo,1,0,MANDANTE
22,brasileiro-a,2018,6,20-05,Paraná,Grêmio,0,0,EMPATE
23,brasileiro-a,2018,6,20-05,São Paulo,Santos,1,0,MANDANTE
24,brasileiro-a,2018,6,20-05,Sport Recife,Corinthians,1,1,EMPATE
25,brasileiro-a,2018,6,20-05,Vitória,Ceará,2,1,MANDANTE
26,brasileiro-a,2018,6,19-05,Palmeiras,Bahia,3,0,MANDANTE
27,brasileiro-a,2018,6,19-05,Flamengo,Vasco,1,1,EMPATE
28,brasileiro-a,2018,6,19-05,Atlético-MG,Cruzeiro,1,0,MANDANTE
29,brasileiro-a,2018,5,14-05,Botafogo,Fluminense,2,1,MANDANTE
30,brasileiro-a,2018,5,14-05,Ceará,América-MG,2,2,EMPATE
31,brasileiro-a,2018,5,13-05,Santos,Paraná,3,1,MANDANTE
32,brasileiro-a,2018,5,13-05,Atlético-PR,Atlético-MG,1,2,VISITANTE
33,brasileiro-a,2018,5,13-05,Bahia,São Paulo,2,2,EMPATE
34,brasileiro-a,2018,5,13-05,Chapecoense,Flamengo,3,2,MANDANTE
35,brasileiro-a,2018,5,13-05,Corinthians,Palmeiras,1,0,MANDANTE
36,brasileiro-a,2018,5,13-05,Vasco,Vitória,2,3,VISITANTE
37,brasileiro-a,2018,5,13-05,Cruzeiro,Sport Recife,2,0,MANDANTE
38,brasileiro-a,2018,5,12-05,Grêmio,Internacional,0,0,EMPATE
39,brasileiro-a,2018,4,07-05,Chapecoense,Paraná,1,1,EMPATE
40,brasileiro-a,2018,4,06-05,Grêmio,Santos,5,1,MANDANTE
41,brasileiro-a,2018,4,06-05,Sport Recife,Bahia,2,0,MANDANTE
42,brasileiro-a,2018,4,06-05,Atlético-PR,Palmeiras,1,3,VISITANTE
43,brasileiro-a,2018,4,06-05,Cruzeiro,Botafogo,1,0,MANDANTE
44,brasileiro-a,2018,4,06-05,Flamengo,Internacional,2,0,MANDANTE
45,brasileiro-a,2018,4,06-05,Vitória,Fluminense,1,2,VISITANTE
