,Unnamed: 0,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado,posicao_m,posicao_v,aproveitamento_5r_v,aproveitamento_5r_m,aproveitamento_10r_v,aproveitamento_10r_m
0,0,brasileiro-a,2018,7,26-05,Atlético-MG,Flamengo,0,1,VISITANTE,3.0,1.0,0.67,0.87,0.67,0.87
1,1,brasileiro-a,2018,7,26-05,Palmeiras,Sport Recife,2,3,VISITANTE,7.0,8.0,0.53,0.67,0.53,0.67
2,2,brasileiro-a,2018,7,26-05,Fluminense,Chapecoense,3,1,MANDANTE,2.0,18.0,0.4,0.67,0.4,0.67
3,3,brasileiro-a,2018,7,27-05,Paraná,Atlético-PR,0,0,EMPATE,20.0,17.0,0.13,0.13,0.13,0.13
4,4,brasileiro-a,2018,7,27-05,Bahia,Vasco,3,0,MANDANTE,15.0,12.0,0.33,0.33,0.33,0.33
5,5,brasileiro-a,2018,7,27-05,Botafogo,Vitória,1,1,EMPATE,11.0,14.0,0.4,0.47,0.4,0.47
6,6,brasileiro-a,2018,7,27-05,Internacional,Corinthians,2,1,MANDANTE,13.0,6.0,0.53,0.13,0.53,0.13
7,7,brasileiro-a,2018,7,27-05,Santos,Cruzeiro,0,1,VISITANTE,16.0,9.0,0.47,0.2,0.47,0.2
8,8,brasileiro-a,2018,7,27-05,América-MG,São Paulo,1,3,VISITANTE,10.0,4.0,0.47,0.47,0.47,0.47
9,9,brasileiro-a,2018,7,27-05,Ceará,Grêmio,0,1,VISITANTE,19.0,5.0,0.4,0.2,0.4,0.2
10,10,brasileiro-a,2018,6,20-05,Fluminense,Atlético-PR,2,0,MANDANTE,5.0,16.0,0.17,0.58,0.17,0.58
11,11,brasileiro-a,2018,6,20-05,América-MG,Botafogo,1,0,MANDANTE,6.0,10.0,0.58,0.33,0.58,0.33
12,12,brasileiro-a,2018,6,20-05,Paraná,Grêmio,0,0,EMPATE,20.0,8.0,0.42,0.08,0.42,0.08
13,13,brasileiro-a,2018,6,20-05,São Paulo,Santos,1,0,MANDANTE,7.0,14.0,0.25,0.33,0.25,0.33
14,14,brasileiro-a,2018,6,20-05,Sport Recife,Corinthians,1,1,EMPATE,11.0,3.0,0.58,0.58,0.58,0.58
15,15,brasileiro-a,2018,6,20-05,Vitória,Ceará,2,1,MANDANTE,13.0,19.0,0.25,0.25,0.25,0.25
16,16,brasileiro-a,2018,6,19-05,Palmeiras,Bahia,3,0,MANDANTE,4.0,18.0,0.42,0.58,0.42,0.58
17,17,brasileiro-a,2018,6,19-05,Flamengo,Vasco,1,1,EMPATE,2.0,9.0,0.33,0.75,0.33,0.75
18,18,brasileiro-a,2018,6,19-05,Atlético-MG,Cruzeiro,1,0,MANDANTE,1.0,12.0,0.58,0.83,0.58,0.83
19,19,brasileiro-a,2018,5,14-05,Botafogo,Fluminense,2,1,MANDANTE,6.0,9.0,0.78,0.44,0.78,0.44
20,20,brasileiro-a,2018,5,14-05,Ceará,América-MG,2,2,EMPATE,19.0,10.0,0.33,0.22,0.33,0.22
21,21,brasileiro-a,2018,5,13-05,Santos,Paraná,3,1,MANDANTE,13.0,20.0,0.11,0.0,0.11,0.0
22,22,brasileiro-a,2018,5,13-05,Atlético-PR,Atlético-MG,1,2,VISITANTE,15.0,3.0,0.78,0.22,0.78,0.22
23,23,brasileiro-a,2018,5,13-05,Bahia,São Paulo,2,2,EMPATE,17.0,12.0,0.33,0.44,0.33,0.44
24,24,brasileiro-a,2018,5,13-05,Chapecoense,Flamengo,3,2,MANDANTE,14.0,1.0,1.0,0.33,1.0,0.33
25,25,brasileiro-a,2018,5,13-05,Corinthians,Palmeiras,1,0,MANDANTE,2.0,5.0,0.78,0.44,0.78,0.44
26,26,brasileiro-a,2018,5,13-05,Vasco,Vitória,2,3,VISITANTE,7.0,18.0,0.0,0.44,0.0,0.44
27,27,brasileiro-a,2018,5,13-05,Cruzeiro,Sport Recife,2,0,MANDANTE,8.0,11.0,0.78,0.44,0.78,0.44
28,28,brasileiro-a,2018,5,12-05,Grêmio,Internacional,0,0,EMPATE,4.0,16.0,0.11,0.44,0.11,0.44
29,29,brasileiro-a,2018,4,07-05,Chapecoense,Paraná,1,1,EMPATE,17.0,20.0,0.0,0.33,0.0,0.33
30,30,brasileiro-a,2018,4,06-05,Grêmio,Santos,5,1,MANDANTE,5.0,16.0,0.0,0.17,0.0,0.17
31,31,brasileiro-a,2018,4,06-05,Sport Recife,Bahia,2,0,MANDANTE,8.0,15.0,0.67,0.67,0.67,0.67
32,32,brasileiro-a,2018,4,06-05,Atlético-PR,Palmeiras,1,3,VISITANTE,11.0,2.0,0.67,0.33,0.67,0.33
33,33,brasileiro-a,2018,4,06-05,Cruzeiro,Botafogo,1,0,MANDANTE,14.0,12.0,0.67,0.17,0.67,0.17
34,34,brasileiro-a,2018,4,06-05,Flamengo,Internacional,2,0,MANDANTE,1.0,13.0,0.17,1.0,0.17,1.0
35,35,brasileiro-a,2018,4,06-05,Vitória,Fluminense,1,2,VISITANTE,19.0,7.0,0.67,0.0,0.67,0.0
36,36,brasileiro-a,2018,4,06-05,Corinthians,Ceará,1,1,EMPATE,3.0,18.0,0.17,0.5,0.17,0.5
37,37,brasileiro-a,2018,4,05-05,São Paulo,Atlético-MG,2,2,EMPATE,10.0,6.0,1.0,0.33,1.0,0.33
38,38,brasileiro-a,2018,4,05-05,Vasco,América-MG,4,1,MANDANTE,4.0,9.0,0.5,0.17,0.5,0.17
39,39,brasileiro-a,2018,3,30-04,América-MG,Vitória,2,1,MANDANTE,3.0,17.0,0.0,0.0,0.0,0.0
40,40,brasileiro-a,2018,3,29-04,Internacional,Cruzeiro,0,0,EMPATE,10.0,18.0,0.0,0.0,0.0,0.0
41,41,brasileiro-a,2018,3,29-04,Atlético-MG,Corinthians,1,0,MANDANTE,4.0,2.0,1.0,1.0,1.0,1.0
42,42,brasileiro-a,2018,3,29-04,Bahia,Atlético-PR,0,0,EMPATE,13.0,5.0,0.33,1.0,0.33,1.0
43,43,brasileiro-a,2018,3,29-04,Ceará,Flamengo,0,3,VISITANTE,19.0,1.0,1.0,0.33,1.0,0.33
44,44,brasileiro-a,2018,3,29-04,Fluminense,São Paulo,1,1,EMPATE,11.0,8.0,0.33,1.0,0.33,1.0
45,45,brasileiro-a,2018,3,29-04,Palmeiras,Chapecoense,0,0,EMPATE,7.0,16.0,0.33,1.0,0.33,1.0
46,46,brasileiro-a,2018,3,29-04,Paraná,Sport Recife,1,2,VISITANTE,20.0,14.0,0.33,0.0,0.33,0.0
47,47,brasileiro-a,2018,3,28-04,Botafogo,Grêmio,2,1,MANDANTE,6.0,12.0,0.33,0.33,0.33,0.33
48,48,brasileiro-a,2018,2,23-04,Sport Recife,Botafogo,1,1,EMPATE,17.0,14.0,0.0,0.0,0.0,0.0
49,49,brasileiro-a,2018,2,22-04,Grêmio,Atlético-PR,0,0,EMPATE,7.0,2.0,0.0,0.0,0.0,0.0
50,50,brasileiro-a,2018,2,22-04,Atlético-MG,Vitória,2,1,MANDANTE,11.0,15.0,0.0,0.0,0.0,0.0
51,51,brasileiro-a,2018,2,22-04,Ceará,São Paulo,0,0,EMPATE,16.0,6.0,0.0,0.0,0.0,0.0
52,52,brasileiro-a,2018,2,22-04,Chapecoense,Vasco,1,1,EMPATE,18.0,4.0,0.0,0.0,0.0,0.0
53,53,brasileiro-a,2018,2,22-04,Fluminense,Cruzeiro,1,0,MANDANTE,12.0,19.0,0.0,0.0,0.0,0.0
54,54,brasileiro-a,2018,2,22-04,Palmeiras,Internacional,1,0,MANDANTE,5.0,9.0,0.0,0.0,0.0,0.0
55,55,brasileiro-a,2018,2,22-04,Paraná,Corinthians,0,4,VISITANTE,20.0,1.0,0.0,0.0,0.0,0.0
56,56,brasileiro-a,2018,2,21-04,Flamengo,América-MG,2,0,MANDANTE,3.0,8.0,0.0,0.0,0.0,0.0
57,57,brasileiro-a,2018,2,21-04,Bahia,Santos,1,0,MANDANTE,13.0,10.0,0.0,0.0,0.0,0.0
58,58,brasileiro-a,2018,1,16-04,Botafogo,Palmeiras,1,1,EMPATE,12.0,11.0,0.0,0.0,0.0,0.0
59,59,brasileiro-a,2018,1,16-04,São Paulo,Paraná,1,0,MANDANTE,7.0,15.0,0.0,0.0,0.0,0.0
60,60,brasileiro-a,2018,1,15-04,Atlético-PR,Chapecoense,5,1,MANDANTE,1.0,20.0,0.0,0.0,0.0,0.0
