time;jogos_total;aprov_casa;aprov_fora;aprov_total;media_gols_casa;media_gols_fora;media_gols;forca_casa;forca_fora;forca
São Paulo;598;10;10;10;10;10;10;10.0;10.0;10.0
Corinthians;560;9;10;10;6;9;8;8.25;9.75;9.5
Cruzeiro;598;9;10;10;10;10;10;9.25;10.0;10.0
Santos;598;10;9;10;10;10;10;10.0;9.25;10.0
Internacional;560;10;9;9;7;8;7;9.25;8.75;8.5
Grêmio;556;10;8;9;9;6;8;9.75;7.5;8.75
Palmeiras;514;9;9;9;8;9;9;8.75;9.0;9.0
Flamengo;598;8;9;9;6;7;7;7.5;8.5;8.5
Atlético-MG;560;8;8;8;9;9;10;8.25;8.25;8.5
Fluminense;598;6;10;8;6;10;9;6.0;10.0;8.25
Atlético-PR;560;9;6;8;8;6;8;8.75;6.0;8.0
Sao Caetano;172;6;8;8;3;7;5;5.25;7.75;7.25
Botafogo;514;6;7;7;8;6;7;6.5;6.75;7.0
Goias;438;7;7;7;9;8;9;7.5;7.25;7.5
Vasco;482;5;8;7;5;8;7;5.0;8.0;7.0
Paraná;218;7;6;7;7;9;8;7.0;6.75;7.25
Chapecoense;158;5;7;6;2;5;2;4.25;6.5;5.0
Coritiba;476;7;5;6;4;5;5;6.25;5.0;5.75
Sport Recife;312;8;4;6;7;3;6;7.75;3.75;6.0
Figueirense;438;4;7;6;4;5;4;4.0;6.5;5.5
Juventude;210;7;4;5;5;7;6;6.5;4.75;5.25
Vitória;366;4;5;5;8;4;6;5.0;4.75;5.25
Ponte Preta;362;4;4;5;3;2;3;3.75;3.5;4.5
Bahia;244;2;6;5;2;3;2;2.0;5.25;4.25
Paysandu;134;8;2;4;10;4;9;8.5;2.5;5.25
Portuguesa;114;5;3;4;6;2;4;5.25;2.75;4.0
Avaí;190;2;5;4;4;3;4;2.5;4.5;4.0
Guarani;130;6;2;4;2;3;2;5.0;2.25;3.5
Fortaleza;126;3;4;3;9;2;5;4.5;3.5;3.5
Criciúma;168;5;2;3;4;2;3;4.75;2.0;3.0
Santo Andre;38;3;3;3;5;3;5;3.5;3.0;3.5
Ceará;84;3;2;3;2;1;1;2.75;1.75;2.5
Náutico;190;3;2;2;3;5;4;3.0;2.75;2.5
Barueri;76;2;3;2;6;5;6;3.0;3.5;3.0
Atlético-GO;152;1;6;2;1;7;3;1.0;6.25;2.25
Brasiliense;42;1;5;2;1;8;3;1.0;5.75;2.25
Ipatinga;38;4;1;1;5;1;1;4.25;1.0;1.0
América-MG;84;2;1;1;1;1;1;1.75;1.0;1.0
Joinville;38;1;1;1;1;1;1;1.0;1.0;1.0
Santa Cruz;76;1;1;1;3;4;2;1.5;1.75;1.25
América-RN;38;1;1;1;1;1;1;1.0;1.0;1.0
